S. No.,Customer Id,Sex,Age,Profile,Store,Product Id,Product Type,Model ID,Product Model,Model Age,RAM,Processor,Graphic,Battery,Price,Offer Number,Country,Area,City,Month,Year
713,10369,m,23,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,September,2018
714,10370,f,20,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,September,2018
715,10371,f,19,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,20,September,2016
716,10372,m,20,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,September,2016
717,10373,f,21,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,July,2016
718,10374,m,23,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,21,August,2016
719,10375,f,17,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,August,2016
720,10376,m,16,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,September,2016
721,10377,f,45,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,1,3,April,2016
722,10378,m,56,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,13,May,2016
723,10379,m,51,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,20,June,2016
724,10380,f,32,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,April,2016
725,10301,f,28,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,3,November,2015
726,10302,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,September,2015
727,10303,f,31,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,2,5,November,2015
728,10304,m,17,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,September,2015
729,10305,m,18,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,3,7,July,2015
730,10306,m,77,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,23,July,2015
731,10307,f,13,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,23,September,2015
732,10308,f,15,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,September,2015
733,10309,m,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,12,September,2015
734,10310,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,12,November,2015
735,10311,f,25,J,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,October,2015
736,10312,f,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,September,2015
737,10313,f,40,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,7,20,November,2015
738,10314,m,39,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,7,21,November,2015
739,10315,f,36,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,17,November,2015
740,10316,m,28,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,16,October,2015
741,10317,f,34,J,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,24,September,2015
742,10381,m,29,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,3,October,2015
743,10382,f,62,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,December,2015
744,10383,m,42,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,9,December,2015
745,10384,m,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,12,July,2015
746,10385,f,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,15,August,2015
747,10386,f,78,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,21,August,2015
748,10387,f,18,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,16,September,2015
749,10388,f,38,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,November,2015
750,10389,m,70,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,December,2015
751,10390,f,17,S,O,3,Gaming,31,Alienware 14,,,,,,"1,37,890.00",,1,3,9,July,2015
752,10391,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,12,August,2015
753,10392,m,65,N,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,14,September,2015
754,10393,f,21,J,O,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,3,6,16,October,2015
755,10394,f,52,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,21,May,2015
756,10395,m,40,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,24,June,2015
757,10318,f,62,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,24,July,2014
758,10319,f,51,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,September,2014
759,10320,m,35,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,November,2014
763,10324,f,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,4,November,2014
764,10325,m,15,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,August,2014
765,10326,f,18,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,9,September,2014
766,10327,f,16,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,9,August,2014
767,10328,f,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,12,July,2014
768,10329,m,18,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,September,2014
769,10330,m,14,S,S,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,3,7,20,August,2014
770,10331,m,52,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,16,September,2014
772,10333,f,30,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,16,October,2014
774,10335,f,28,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,October,2014
775,10336,m,47,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,July,2014
776,10337,f,27,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,October,2014
777,10388,m,29,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,6,April,2014
778,10389,m,34,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,3,8,May,2014
779,10390,f,60,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,June,2014
780,10391,m,51,B,S,5,Server,43,PowerVault RD1001,,,,,,"74,131.00",,3,8,23,April,2014
781,10392,f,38,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,November,2014
782,10393,m,70,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,5,December,2014
783,10394,f,17,S,O,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,1,3,8,April,2014
784,10395,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,May,2014
786,10397,f,21,J,O,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,3,6,16,October,2014
787,10398,f,52,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,May,2014
788,10399,m,40,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,23,June,2014
789,10371,f,16,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,7,19,May,2013
790,10372,m,17,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,23,September,2013
793,10375,f,14,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,August,2013
794,10376,m,13,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,4,September,2013
795,10377,f,42,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,1,1,April,2013
796,10378,m,53,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,15,May,2013
797,10379,m,48,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,June,2013
798,10380,f,29,J,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,April,2013
799,10400,f,24,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,2,January,2013
800,10401,m,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,3,July,2013
801,10402,f,18,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,August,2013
802,10403,m,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,September,2013
803,10404,m,71,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,8,February,2013
804,10405,m,32,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,7,March,2013
805,10406,f,75,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,7,November,2013
806,10407,f,76,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,10,December,2013
807,10408,f,56,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,October,2013
808,10409,m,45,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,October,2013
809,10410,m,31,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,5,14,April,2013
810,10411,m,45,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,18,April,2013
811,10412,f,67,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,17,May,2013
812,10413,f,56,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,18,June,2013
813,10414,f,38,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,November,2013
814,10415,m,70,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,December,2013
815,10416,f,17,S,O,3,Gaming,31,Alienware 14,,,,,,"1,37,890.00",,1,3,7,July,2013
816,10417,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,August,2013
817,10418,m,65,N,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,14,September,2013
818,10419,f,21,J,O,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,3,6,17,October,2013
819,10420,f,52,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,May,2013
820,10421,m,40,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,June,2013
821,10400,f,27,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,January,2016
822,10401,m,20,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,July,2017
823,10402,f,21,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,5,August,2016
824,10403,m,24,S,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,2,4,September,2016
825,10404,m,74,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,7,February,2017
826,10405,m,35,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,March,2016
827,10406,f,78,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,8,November,2016
828,10407,f,79,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,4,12,December,2016
829,10408,f,59,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,12,October,2016
830,10409,m,48,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,11,October,2016
831,10410,m,34,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,5,15,April,2017
832,10411,m,48,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,April,2016
833,10412,f,70,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,16,May,2016
834,10413,f,59,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,June,2016
835,10414,f,41,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,November,2017
836,10415,m,73,N,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,2,6,December,2016
837,10416,f,20,S,O,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,1,3,8,July,2016
838,10417,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,11,August,2016
839,10418,m,68,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,15,September,2017
840,10419,f,24,J,O,3,Gaming,31,Alienware 14,,16,7,8,68,"1,37,890.00",,3,6,16,October,2016
841,10420,f,55,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,May,2016
842,10421,m,43,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,June,2016
843,10422,f,34,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,1,November,2018
844,10423,m,32,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,November,2016
845,10424,m,54,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,2,November,2018
846,10425,m,39,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,2,November,2016
847,10426,m,76,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,1,1,November,2016
848,10427,f,75,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,3,October,2016
849,10428,f,61,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,1,2,October,2017
850,10429,f,46,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,5,October,2016
851,10430,m,45,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,October,2016
852,10431,f,24,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,October,2016
853,10432,m,67,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,2,4,October,2017
854,10433,f,65,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,October,2016
855,10434,m,67,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,6,December,2016
856,10435,m,66,N,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,5,December,2016
857,10436,m,54,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,December,2017
858,10437,f,32,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,8,December,2016
859,10438,m,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,3,9,December,2016
860,10439,f,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,3,9,December,2016
861,10440,m,19,S,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,3,9,August,2018
862,10441,m,20,S,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,3,7,August,2016
863,10442,m,21,S,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,4,10,August,2016
864,10443,f,16,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,August,2018
865,10444,f,23,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,August,2016
866,10445,f,22,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,July,2016
867,10446,m,18,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,July,2018
868,10447,m,14,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,July,2016
869,10448,m,59,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,14,July,2016
870,10449,f,55,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,September,2017
871,10450,m,33,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,September,2016
872,10451,f,44,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,15,December,2017
873,10452,m,21,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,September,2017
874,10453,f,23,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,September,2016
875,10454,m,20,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,March,2016
876,10455,f,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,13,November,2018
877,10456,m,50,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,November,2017
878,10457,m,51,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,16,September,2016
879,10458,m,54,J,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,September,2016
880,10459,f,60,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,17,April,2018
881,10460,m,32,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,17,April,2016
882,10461,f,45,J,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,18,August,2016
883,10462,m,67,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,18,April,2018
884,10463,f,54,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,May,2016
885,10464,f,32,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,May,2016
886,10465,f,62,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,May,2018
887,10466,m,31,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,May,2016
888,10467,m,23,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,20,May,2018
889,10468,m,18,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,20,May,2016
890,10469,m,20,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,21,May,2016
891,10470,f,21,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,21,August,2017
892,10471,m,23,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,22,June,2016
893,10472,f,21,S,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,June,2016
894,10473,m,22,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,23,August,2017
895,10474,f,20,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,June,2016
896,10475,m,31,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,June,2016
897,10476,m,17,S,S,3,Gaming,31,Alienware 15,,,,,,"1,37,890.00",,3,8,24,September,2017
898,10477,m,44,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,24,November,2017
899,10478,f,78,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,November,2017
900,10479,f,65,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,23,October,2016
901,10388,m,32,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,2,4,April,2017
902,10389,m,37,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,3,7,May,2017
903,10390,f,63,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,21,June,2017
904,10391,m,54,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,April,2017
905,10392,f,41,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,November,2017
906,10393,m,73,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,December,2017
907,10394,f,20,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,July,2017
908,10395,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,August,2017
909,10396,m,#REF!,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,September,2017
910,10397,f,24,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,6,18,October,2017
911,10398,f,55,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,21,May,2017
912,10399,m,43,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,June,2017
913,10480,f,34,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,1,March,2017
914,10481,f,65,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,1,2,February,2017
915,10482,f,67,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,1,3,October,2017
916,10483,m,60,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,1,October,2017
917,10484,m,23,J,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,2,4,December,2017
918,10485,m,43,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,5,December,2017
919,10486,f,32,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,6,December,2017
920,10487,m,77,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,3,8,November,2017
921,10488,f,75,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,3,8,November,2017
922,10489,m,70,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,3,9,November,2017
923,10490,f,43,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,11,September,2017
924,10491,m,21,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,12,September,2017
925,10492,f,50,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,12,June,2017
926,10493,m,39,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,12,May,2017
927,10494,m,34,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,13,April,2017
928,10495,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,August,2017
929,10496,f,23,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,15,August,2017
930,10497,f,19,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,August,2017
931,10498,f,54,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,18,July,2017
932,10499,m,29,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,17,April,2017
933,10500,m,30,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,17,April,2017
934,10501,m,20,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,17,July,2017
935,10502,f,34,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,20,May,2017
936,10503,m,56,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,May,2017
937,10504,f,54,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,20,June,2017
938,10505,m,71,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,July,2017
939,10506,f,65,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,June,2017
940,10507,m,29,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,January,2017
941,10381,m,32,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,October,2018
942,10382,f,65,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,6,December,2018
943,10383,m,45,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,3,9,December,2018
944,10384,m,24,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,11,July,2018
945,10385,f,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,August,2018
946,10386,f,81,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,19,August,2018
947,10387,f,21,S,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,6,16,September,2018
948,10388,f,41,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,November,2018
949,10389,m,73,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,5,December,2018
950,10390,f,20,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,July,2018
951,10391,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,11,August,2018
952,10392,m,68,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,15,September,2018
953,10393,f,24,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,16,October,2018
954,10394,f,55,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,May,2018
955,10395,m,43,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,June,2018
956,10508,f,15,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,3,August,2018
